Time,GroundT_Lapse7_daily_mean
2015-12-04,0.5
2015-12-05,0.5
2015-12-06,0.5
2015-12-07,0.5
2015-12-08,0.5
2015-12-09,0.5
2015-12-10,0.5
2015-12-11,0.5
2015-12-12,0.5
2015-12-13,0.5
2015-12-14,0.5
2015-12-15,0.5
2015-12-16,0.5
2015-12-17,0.5
2015-12-18,0.5
2015-12-19,0.5
2015-12-20,0.5
2015-12-21,0.5
2015-12-22,0.5
2015-12-23,0.5
2015-12-24,0.5
2015-12-25,0.5
2015-12-26,0.5
2015-12-27,0.5
2015-12-28,0.5
2015-12-29,0.5
2015-12-30,0.5
2015-12-31,0.5
2016-01-01,0.5
2016-01-02,0.5
2016-01-03,0.5
2016-01-04,0.5
2016-01-05,0.5
2016-01-06,0.5
2016-01-07,0.5
2016-01-08,0.5
2016-01-09,0.5
2016-01-10,0.5
2016-01-11,0.5
2016-01-12,0.5
2016-01-13,0.5
2016-01-14,0.5
2016-01-15,0.5
2016-01-16,0.5
2016-01-17,0.5
2016-01-18,0.5
2016-01-19,0.5
2016-01-20,0.5
2016-01-21,0.5
2016-01-22,0.5
2016-01-23,0.5
2016-01-24,0.5
2016-01-25,0.5
2016-01-26,0.5
2016-01-27,0.5
2016-01-28,0.5
2016-01-29,0.5
2016-01-30,0.5
2016-01-31,0.5
2016-02-01,0.5
2016-02-02,0.5
2016-02-03,0.5
2016-02-04,0.5
2016-02-05,0.5
2016-02-06,0.5
2016-02-07,0.5
2016-02-08,0.5
2016-02-09,0.5
2016-02-10,0.5
2016-02-11,0.5
2016-02-12,0.5
2016-02-13,0.5
2016-02-14,0.5
2016-02-15,0.5
2016-02-16,0.5
2016-02-17,0.5
2016-02-18,0.5
2016-02-19,0.5
2016-02-20,0.5
2016-02-21,0.5
2016-02-22,0.5
2016-02-23,0.5
2016-02-24,0.5
2016-02-25,0.5
2016-02-26,0.5
2016-02-27,0.5
2016-02-28,0.5
2016-02-29,0.5
2016-03-01,0.5
2016-03-02,0.5
2016-03-03,0.5
2016-03-04,0.5
2016-03-05,0.5
2016-03-06,0.5
2016-03-07,0.5
2016-03-08,0.5
2016-03-09,0.5
2016-03-10,0.5
2016-03-11,0.5
2016-03-12,0.5
2016-03-13,0.5
2016-03-14,0.5
2016-03-15,0.5
2016-03-16,0.5
2016-03-17,0.5
2016-03-18,0.5
2016-03-19,0.5
2016-03-20,0.5
2016-03-21,0.5
2016-03-22,0.5
2016-03-23,0.5
2016-03-24,0.5
2016-03-25,0.5
2016-03-26,0.5
2016-03-27,0.5
2016-03-28,0.5
2016-03-29,0.5
2016-03-30,0.5
2016-03-31,0.5
2016-04-01,0.5
2016-04-02,0.5
2016-04-03,0.5
2016-04-04,0.5
2016-04-05,0.5
2016-04-06,0.5
2016-04-07,0.5
2016-04-08,0.5
2016-04-09,0.5
2016-04-10,0.5
2016-04-11,0.5
2016-04-12,0.5
2016-04-13,0.5
2016-04-14,0.5
2016-04-15,0.5
2016-04-16,0.5
2016-04-17,0.5
2016-04-18,0.5
2016-04-19,0.5
2016-04-20,0.5
2016-04-21,0.5
2016-04-22,0.5
2016-04-23,0.5
2016-04-24,0.5
2016-04-25,0.5
2016-04-26,0.5
2016-04-27,0.5
2016-04-28,0.5
2016-04-29,0.5
2016-04-30,0.5
2016-05-01,0.5
2016-05-02,0.5
2016-05-03,0.5
2016-05-04,0.5
2016-05-05,0.5
2016-05-06,0.5
2016-05-07,0.5
2016-05-08,0.5
2016-05-09,0.5
2016-05-10,0.5
2016-05-11,0.5
2016-05-12,0.5
2016-05-13,0.5
2016-05-14,0.5
2016-05-15,0.5
2016-05-16,0.5
2016-05-17,0.5
2016-05-18,0.5
2016-05-19,0.5
2016-05-20,0.5
2016-05-21,0.5
2016-05-22,0.5
2016-05-23,0.5
2016-05-24,0.5
2016-05-25,0.5
2016-05-26,0.5
2016-05-27,0.5
2016-05-28,0.5
2016-05-29,0.5
2016-05-30,0.5
2016-05-31,0.5
2016-06-01,1.5625
2016-06-02,4.9375
2016-06-03,6.0
2016-06-04,9.5
2016-06-05,12.25
2016-06-06,12.625
2016-06-07,11.1875
2016-06-08,9.5
2016-06-09,4.25
2016-06-10,2.375
2016-06-11,1.5
2016-06-12,1.0
2016-06-13,1.75
2016-06-14,1.125
2016-06-15,0.9375
2016-06-16,0.5
2016-06-17,0.5
2016-06-18,0.6875
2016-06-19,1.4375
2016-06-20,4.375
2016-06-21,4.875
2016-06-22,5.75
2016-06-23,5.1875
2016-06-24,3.875
2016-06-25,5.0
2016-06-26,6.875
2016-06-27,9.8125
2016-06-28,11.0
2016-06-29,11.125
2016-06-30,10.0
2016-07-01,8.6875
2016-07-02,8.6875
2016-07-03,7.625
2016-07-04,5.3125
2016-07-05,3.8125
2016-07-06,5.0625
2016-07-07,6.1875
2016-07-08,6.6875
2016-07-09,5.625
2016-07-10,5.5
2016-07-11,5.875
2016-07-12,6.5625
2016-07-13,6.9375
2016-07-14,7.5
2016-07-15,6.375
2016-07-16,7.25
2016-07-17,8.5
2016-07-18,8.6875
2016-07-19,8.0
2016-07-20,8.1875
2016-07-21,9.1875
2016-07-22,9.0625
2016-07-23,7.625
2016-07-24,8.9375
2016-07-25,11.6875
2016-07-26,12.375
2016-07-27,12.6875
2016-07-28,13.375
2016-07-29,14.0
2016-07-30,11.9375
2016-07-31,9.5625
2016-08-01,10.0625
2016-08-02,8.625
2016-08-03,7.8125
2016-08-04,8.5
2016-08-05,9.6875
2016-08-06,8.625
2016-08-07,8.0625
2016-08-08,7.0625
2016-08-09,7.5625
2016-08-10,8.5625
2016-08-11,10.125
2016-08-12,11.875
2016-08-13,12.75
2016-08-14,12.875
2016-08-15,12.4375
2016-08-16,12.0833333333
